net_put_flow_btc_z,net_call_flow_btc_z,block_share_z,pc_volume_ratio_z,top_strike_share_z,lag,event_day
0.6542609427965913,-0.22422516838110834,0.4670335314386685,-0.4564622017347068,0.6722147778893641,-2,2023-10-11
1.301869053625266,-0.09624387171190735,0.5741566510774959,0.2571226564187686,-1.0092465603732719,-1,2023-10-11
1.4839320280084978,-0.49375361959745306,-0.4167587292738658,-1.1130856097649198,1.3621330660760325,0,2023-10-11
0.013614792695980597,-0.9124363714955611,-0.10077677367660427,-0.6298552533983224,-0.8937676144810458,1,2023-10-11
-0.26156320942139827,0.39751832045458435,-0.4385129353662166,-1.0187484843091519,0.8668512598058038,2,2023-10-11
-0.26156320942139827,0.39751832045458435,-0.4385129353662166,-1.0187484843091519,0.8668512598058038,-2,2023-10-15
-0.49476199532244,-0.4210952485994318,-1.1464548510468,0.34167619516101627,2.2304205698445827,-1,2023-10-15
-0.9608846246936606,0.10576443874950758,-0.7081326038864387,-0.15365754139200927,0.05003694767019326,0,2023-10-15
-2.120855829247797,0.36685292402379555,0.42540717968460384,-1.0308767551617268,-0.025327671947627545,1,2023-10-15
-0.23430462435030833,0.8214568883699316,1.7782760743211006,0.034838847646298146,-1.0341664414948417,2,2023-10-15
-0.49476199532244,-0.4210952485994318,-1.1464548510468,0.34167619516101627,2.2304205698445827,-2,2023-10-16
-0.9608846246936606,0.10576443874950758,-0.7081326038864387,-0.15365754139200927,0.05003694767019326,-1,2023-10-16
-2.120855829247797,0.36685292402379555,0.42540717968460384,-1.0308767551617268,-0.025327671947627545,0,2023-10-16
-0.23430462435030833,0.8214568883699316,1.7782760743211006,0.034838847646298146,-1.0341664414948417,1,2023-10-16
-0.8208985429473515,0.5876702790116403,0.8403231751249896,-1.1918218458775272,0.8358906355236871,2,2023-10-16
-0.07198413722137138,0.761362890768337,-0.23668057241756899,-1.0557244107843728,-0.5618190276993978,-2,2023-10-23
-0.9322728943631242,-0.08972360867535753,-0.21959388014783865,-0.5099339318324398,0.3396923076096167,-1,2023-10-23
-3.280033504289234,-3.147566301686945,1.4666624990135335,-1.265204805654926,-0.6019027758332732,0,2023-10-23
-0.49036879372791875,1.306980016522976,1.2151845323251482,-1.315512255867797,-0.4055445273391199,1,2023-10-23
-2.1320975273883715,2.285922416358116,1.2157021678983864,-0.980336737500161,-0.9475137649258744,2,2023-10-23
0.4395151580178745,0.009927305845571631,0.9619878690258938,-0.7357472887870777,-0.5776156477412029,-2,2023-11-01
-0.4622009693667334,-0.3618108231322304,0.8287698555923431,-0.8034134857083965,-0.19939222803921827,-1,2023-11-01
-0.41077017681856837,1.1510593917932959,0.12409872842195185,-0.4025788084528177,-1.282349654653009,0,2023-11-01
-0.17118616484912566,0.44780252108267227,0.30804943599982243,-0.3347731510823313,-1.3881964020692605,1,2023-11-01
0.21621313667169725,0.7963490955619402,-0.2561278731255508,-0.5998639317557893,-1.369652972809588,2,2023-11-01
0.0741618174959047,-0.14322213420804375,-0.8133182598647494,-0.42139787355398484,-0.7873681496376161,-2,2023-11-07
-0.331870075251199,-1.1933237037519926,0.5640964050901458,-0.8357838633087845,-1.0976498580377156,-1,2023-11-07
-0.5577274215212397,-0.1737952698780638,0.9941989340528995,-0.006428914868317951,-0.9636776897952164,0,2023-11-07
0.6731386658125196,0.07434741903386094,1.2161364080345063,-0.5446301008019093,-0.6222384233499604,1,2023-11-07
1.1795857614977812,-1.1547801196435816,0.5898524442074313,-0.5558673033356335,-0.7673214208415778,2,2023-11-07
-0.5577274215212397,-0.1737952698780638,0.9941989340528995,-0.006428914868317951,-0.9636776897952164,-2,2023-11-09
0.6731386658125196,0.07434741903386094,1.2161364080345063,-0.5446301008019093,-0.6222384233499604,-1,2023-11-09
1.1795857614977812,-1.1547801196435816,0.5898524442074313,-0.5558673033356335,-0.7673214208415778,0,2023-11-09
-0.542037167988947,-0.6547598721318482,-0.366067582784502,-0.8950352696655665,-0.10747209945073032,1,2023-11-09
0.2021349149152759,-0.7742747349311648,-1.0249157250356764,-0.6192693163335906,0.5871567412832741,2,2023-11-09
0.3608412499497929,-0.4481499407671887,-1.7343468426249384,1.1626910467982208,-0.8039899982388133,-2,2023-12-11
0.04127487834777977,-0.38013395376097164,-1.4335445375001452,-0.8970849049014108,-0.991395236535485,-1,2023-12-11
2.7712306135282803,-1.4484207745359414,-0.08211275445923277,3.011479285309904,1.3416472425959332,0,2023-12-11
-0.046959813319514356,-0.5311185732636922,-0.3049602186435994,1.0869184798766074,-0.06007219232628097,1,2023-12-11
0.5507392789160566,0.23389729239938378,-0.4919847606095853,0.05347646389466185,0.17190108457792522,2,2023-12-11
-1.7358478847588825,-1.0652845609411885,-0.4800724213424719,1.3071172985021986,0.1569182431786924,-2,2023-12-24
0.13870064660359505,-0.3407287851023747,-1.5989209217928961,0.9153412781772873,-1.2590720181498403,-1,2023-12-24
0.20022959081823088,-0.43454924747113743,-1.678408219657044,-0.33599841369690175,-0.03185663989071193,0,2023-12-24
0.10866512173013411,-0.26386222127561615,-1.1985631826735286,-0.06022598766905854,-0.18038714477473547,1,2023-12-24
0.9005696014114333,-0.06753130744800613,-0.805831787005576,0.08822138788752548,1.255486559643439,2,2023-12-24
0.20022959081823088,-0.43454924747113743,-1.678408219657044,-0.33599841369690175,-0.03185663989071193,-2,2023-12-26
0.10866512173013411,-0.26386222127561615,-1.1985631826735286,-0.06022598766905854,-0.18038714477473547,-1,2023-12-26
0.9005696014114333,-0.06753130744800613,-0.805831787005576,0.08822138788752548,1.255486559643439,0,2023-12-26
0.6702237752657352,1.0451048582575704,0.3812620627825528,-1.0494986588418582,0.5481238959454695,1,2023-12-26
