symbol,source,year,n_hours,close_med_abs_dev_bps,close_p99_abs_dev_bps,frac_close_dev_gt_1bp,vol_med_abs_rel_dev,ntr_enriched_zero_rate,tbb_eq_half_vol_rate,tbq_eq_half_qav_rate,tbb_med_abs_rel_dev_vs_v2
SOLUSDT,spot,2026,5088,4.64,10.6,0.6559,5.6585,0.0,0.0,1.0,5.4873
TRXUSDT,perp,2021,8760,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0641
TRXUSDT,perp,2022,8640,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0719
TRXUSDT,perp,2023,8760,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0716
TRXUSDT,perp,2024,8784,0.0,0.0,0.0002,0.0,1.0,1.0,1.0,0.0757
TRXUSDT,perp,2025,8760,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1015
TRXUSDT,perp,2026,4296,0.0,0.0,0.0002,0.0,1.0,1.0,1.0,0.1282
TRXUSDT,spot,2021,8747,7.139,44.7,0.9409,0.628,1.0,1.0,1.0,0.6162
TRXUSDT,spot,2022,8760,7.447,24.52,0.9865,0.9323,1.0,1.0,1.0,0.8736
TRXUSDT,spot,2023,8759,5.721,17.81,0.9509,1.4701,1.0,1.0,1.0,1.4934
TRXUSDT,spot,2024,8784,5.108,17.56,0.8875,0.4829,1.0,1.0,1.0,0.4912
TRXUSDT,spot,2025,8760,5.21,13.76,0.925,0.2013,1.0,1.0,1.0,0.2959
TRXUSDT,spot,2026,4296,6.145,21.62,0.9723,0.3439,1.0,1.0,1.0,0.3941
XRPUSDT,perp,2020,8638,7.587,45.21,0.9298,0.3511,0.0,0.0,1.0,0.3617
XRPUSDT,perp,2021,8747,8.28,42.02,0.9492,0.5708,0.0001,0.0001,1.0,0.5574
XRPUSDT,perp,2022,8640,5.964,14.76,0.9639,0.6736,0.0,0.0,1.0,0.6693
XRPUSDT,perp,2023,8759,5.458,13.48,0.9399,0.736,0.0001,0.0001,1.0,0.7299
XRPUSDT,perp,2024,8784,5.36,15.62,0.9344,0.6653,0.0,0.0,1.0,0.6674
XRPUSDT,perp,2025,8760,4.708,8.98,0.9737,0.7835,0.0,0.0,1.0,0.7842
XRPUSDT,perp,2026,5088,5.542,9.08,1.0,0.8138,0.0,0.0,1.0,0.8197
XRPUSDT,spot,2020,8766,0.0,0.0,0.0001,0.0,0.0,0.0,1.0,0.0
XRPUSDT,spot,2021,8747,0.0,0.0,0.0001,0.0,0.0001,0.0001,1.0,0.0
XRPUSDT,spot,2022,8760,0.0,0.0,0.0002,0.0,0.0,0.0,1.0,0.0
XRPUSDT,spot,2023,8759,0.0,0.0,0.0,0.0,0.0001,0.0001,1.0,0.0
XRPUSDT,spot,2024,8784,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
XRPUSDT,spot,2025,8760,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
XRPUSDT,spot,2026,5088,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
