symbol,ref,year,n,frac_close_eq,frac_vol_eq_1pct,vol_median_ratio
ORDIUSDT,spot,2026,4297,0.0261,0.0,6.1976
PENDLEUSDT,perp,2023,3766,1.0,0.9997,1.0
PENDLEUSDT,perp,2024,8784,0.9998,0.9997,1.0
PENDLEUSDT,perp,2025,8760,1.0,0.9995,1.0
PENDLEUSDT,perp,2026,4298,0.9998,0.9998,1.0
PENDLEUSDT,spot,2023,3766,0.0552,0.0,3.6039
PENDLEUSDT,spot,2024,8784,0.0644,0.0,3.0168
PENDLEUSDT,spot,2025,8760,0.0643,0.0,3.7932
PENDLEUSDT,spot,2026,4298,0.0535,0.0,4.8543
PEPEUSDT,perp,2023,5768,1.0,0.9998,1.0
PEPEUSDT,perp,2024,8784,0.9998,0.9997,1.0
PEPEUSDT,perp,2025,8760,1.0,0.9995,1.0
PEPEUSDT,perp,2026,4297,0.9998,0.9998,1.0
RUNEUSDT,perp,2021,8760,1.0,1.0,1.0
RUNEUSDT,perp,2022,8760,1.0,1.0,1.0
RUNEUSDT,perp,2023,8760,1.0,0.9999,1.0
RUNEUSDT,perp,2024,8784,0.9998,0.9997,1.0
RUNEUSDT,perp,2025,8760,1.0,0.9995,1.0
RUNEUSDT,perp,2026,4297,0.9998,0.9998,1.0
RUNEUSDT,spot,2021,8747,0.052,0.0026,2.5088
RUNEUSDT,spot,2022,8760,0.1553,0.0,4.0283
RUNEUSDT,spot,2023,8759,0.2328,0.0002,4.7261
RUNEUSDT,spot,2024,8784,0.0696,0.0302,1.1353
RUNEUSDT,spot,2025,8760,0.2358,0.0072,1.7522
RUNEUSDT,spot,2026,4297,0.0566,0.0005,3.3674
SANDUSDT,perp,2021,8177,1.0,1.0,1.0
SANDUSDT,perp,2022,8640,1.0,1.0,1.0
SANDUSDT,perp,2023,8760,1.0,0.9999,1.0
SANDUSDT,perp,2024,8784,0.9998,0.9998,1.0
SANDUSDT,perp,2025,8760,1.0,0.9995,1.0
SANDUSDT,perp,2026,4299,0.9998,0.9998,1.0
SANDUSDT,spot,2021,8164,0.0486,0.0015,3.1264
SANDUSDT,spot,2022,8760,0.0334,0.0,4.8799
SANDUSDT,spot,2023,8759,0.0511,0.0,7.5704
SANDUSDT,spot,2024,8784,0.0913,0.0,5.9983
SANDUSDT,spot,2025,8760,0.0619,0.0,6.187
SANDUSDT,spot,2026,4299,0.0365,0.0,8.7956
SEIUSDT,perp,2023,3286,1.0,0.9997,1.0
SEIUSDT,perp,2024,8784,0.9998,0.9997,1.0
SEIUSDT,perp,2025,8760,1.0,0.9995,1.0
SEIUSDT,perp,2026,4297,0.9998,0.9998,1.0
